,Coefficient (beta),Std_Error,z_value,p_value,Significance
Intercept,-1.8722588968730147,,,,
Race[T.Black],-0.05051670034913777,18181903.048755504,-2.7784055504902434e-09,0.9999999977831531,
Race[T.Asian],0.37981121121893896,,,,
Gender[T.woman],0.45609181248794045,,,,
Gender[T.non-binary individual],0.3686370112871034,12507994.337467521,2.9472112102166246e-08,0.9999999764846568,
Status[T.severe depression],-0.5256363759253566,,,,
Status[T.Muslim],-1.346616927995183,,,,
Race[T.Black]:Gender[T.woman],-0.1793398198445966,47653720.836589195,-3.763395946763027e-09,0.9999999969972445,
Race[T.Asian]:Gender[T.woman],-0.6584814134146377,,,,
Race[T.Black]:Gender[T.non-binary individual],-0.059277712361029564,,,,
Race[T.Asian]:Gender[T.non-binary individual],-0.7314571580701977,58774056.60230321,-1.2445238602801049e-08,0.9999999900701363,
Race[T.Black]:Status[T.severe depression],-0.3241767490922722,17967754.021534026,-1.8042140865449977e-08,0.9999999856044544,
Race[T.Asian]:Status[T.severe depression],-0.3798112112189381,,,,
Race[T.Black]:Status[T.Muslim],0.27366025166334434,18185302.36373839,1.5048430110737373e-08,0.99999998799309,
Race[T.Asian]:Status[T.Muslim],0.7596230719694224,,,,
Gender[T.woman]:Status[T.severe depression],0.4013584193632818,,,,
Gender[T.non-binary individual]:Status[T.severe depression],-0.6097990681039898,12507994.337467643,-4.8752745776142485e-08,0.9999999611009368,
Gender[T.woman]:Status[T.Muslim],0.054733811278047134,,,,
Gender[T.non-binary individual]:Status[T.Muslim],0.978436636679503,12507994.337467559,7.822490243288702e-08,0.999999937585558,
Race[T.Black]:Gender[T.woman]:Status[T.severe depression],0.5904009134568814,47653720.836589225,1.238939799646375e-08,0.9999999901146907,
Race[T.Asian]:Gender[T.woman]:Status[T.severe depression],-0.05236534424470908,,,,
Race[T.Black]:Gender[T.non-binary individual]:Status[T.severe depression],0.6751332186193268,,,,
Race[T.Asian]:Gender[T.non-binary individual]:Status[T.severe depression],1.1369222661783607,58774056.60230324,1.934394751533633e-08,0.9999999845657629,
Race[T.Black]:Gender[T.woman]:Status[T.Muslim],-0.7697407348525462,47653720.836589254,-1.61527939757755e-08,0.999999987111935,
Race[T.Asian]:Gender[T.woman]:Status[T.Muslim],-0.6061160127277299,,,,
Race[T.Black]:Gender[T.non-binary individual]:Status[T.Muslim],-0.7344106974207903,,,,
Race[T.Asian]:Gender[T.non-binary individual]:Status[T.Muslim],-1.8683794583917757,58774056.60230326,-3.178918669906063e-08,0.9999999746358987,
